flower_name,meaning
abatina,fickleness
acanthus,the fine art or artifice
aloe,affection or grief
amaryllis,pride
anemone,forsaken
angelica,inspiration
apple blossom,preference
arborvitae,unchanging friendship
aster,symbol of love or daintiness
baby's breath,everlasting love
bachelor's button,single blessedness
basil,good wishes
bay tree,glory
begonia,beware
belledonna,silence
bittersweet,truth
black-eyed susan,justice
bluebell,humility
borage,bluntness or directness
butterfly weed,let me go
calla lily,beauty
pink camelia,longing for you
red camelia,you're a flame in my heart
white camelia,you're adorable
candytuft,indifference
carnation,fascination or female love or mother's love
red carnation,alas for my poor heart or my heart aches or deep love
white carnation,innocence or pure love or sweet love
pink carnation,I'll never forget you
striped,refusal
yellow carnation,disdain or disappointment or rejection
chamomile,patience in adversity
chives,usefulness
red chrysanthemum,I love you
yellow chrysanthemum,slighted love
white chrysanthemum,truth
clematis,mental beauty
evergreen clematis,poverty
white clover,think of me
columbine,foolishness or folly
purple columbine,resolution
red columbine,anxious trembling
coreopsis,always cheerful
coriander,hidden worth or merit
crab blossom,Ill nature
spring crocus,cheerfulness or youthful gladness
cyclamen,resignation or diffidence or goodbye
daffodil,regard or unequalled love
single dahlia,good taste
daisy,innocence or loyal love or I'll never tell
daylily,chinese emblem for mother
dill,powerfil against evil
edelweiss,courage or devotion
fennel,flattery
fern,magic or fascination or secret bonds of love
forget-me-not,true love memories or do not forget me
gardenia,you're lovely or secret love
geranuim,folly or stupidity
gladiolus,flower of the gladiators or integrity or strength or victory
goldenrod,encouragement or good fortune
heliotrope,eternal love or devotion
hibiscus,delicate beauty
holly,defense or domestic happiness
hollyhock,ambition
honeysuckle,bonds of love
hyacinth,sport or game or play
blue hyacinth,constancy
purple hyacinth,sorrow
yellow hyacinth,jealously
white hyacinth,loveliness or prayers for someone
hydrangea,gratitude for being understood or frigidity and heartlessness
hyssop,sacrifice or cleanliness
iris,faith or trust or wisdom or hope or valor
ivy,affection or friendship or fidelity
white jasmine,sweet love or amiability
yellow jasmine,grace or elegance
lady's slipper,capricious beauty
larkspur,open heart or levity or lightness or fickleness
lavender,distrust
lemon balm,sympathy
lilac,joy of youth
white lily,virginity or purity or heavenly
yellow lily,happy or gay or walking on air
orange lily,hatred
tiger lily,wealth or pride
lily-of-the-valley,sweetness or tears of the virgin mary or humility
lotus flower,purity or enlightenment or self-regeneration and rebirth
magnolia,nobility or love of nature
marigold,grief or jealously
marjoram,joy or happiness
mint,virtue
morning glory,affection
myrtle,good luck or love in a marriage
nasturtium,patriotism or conquest or victory in battle
oak,strength
oregano,substance
pansy,thoughts
parsley,festivity
peony,bashful or happy life or shame
pine,humility or piety
poppy,consolation
rhododendron,danger or beware
red rose,love or I love you
dark crimson rose,mourning
pink rose,happiness
white rose,innocence or heavenly or I'm worthy of you
yellow rose,jealously or decrease of love or infidelity
orange rose,desire and enthusiasm
lavendor rose,love at first sight
coral rose,friendship or modesty or sympathy
rosemary,remembrance
rue,grace or clear vision
sage,wisdom or immortality
blue salvia,I think of you
red salvia,Forever mine
savory,spice or interest
snapdragon,deception or graciousness
sorrel,affection
southernwood,constancy or jest
spearmint,warmth of sentiment
speedwell,feminine fidelity
dwarf sunflower,adoration
tall sunflower,haughtiness
sweet pea,blissful pleasures or goodbye or thank you for a lovely time
sweet william,gallantry
sweet woodruff,humility
tansy,hostile thoughts or declaring war
tarragon,lasting interest
thyme,courage or strength
red tulip,passion or declaration of love
yellow tulip,sunshine in your smile
valerian,readiness
violet,watchfulness or modesty or faithfulness
willow,sadness
yarrow,everlasting love
zinnia,thoughts of absent friends or lasting affection
